,Network Name,Native ID,Latitude,Longitude,Elevation (m),Variables
21,ENV-AQN,770705,58.81027778,-122.7041667,408.0,Relative Humidity (Point)|Temperature (Mean)|Wind Direction (Point)|Wind Speed (Point)
22,ENV-AQN,M116003,50.6975,-120.3975,347.0,Relative Humidity (Point)|Relative Humidity|Temperature (Mean)|Wind Direction (Point)|Wind Speed (Point)
23,ENV-AQN,E255714,55.11722222,-128.0158333,253.0,Relative Humidity (Point)|Relative Humidity|Temperature (Mean)|Wind Direction (Point)|Wind Speed (Point)
24,ENV-AQN,M106010,54.0675,-128.6402778,119.0,Temperature (Mean)|Wind Direction (Point)|Wind Speed (Point)
25,ENV-AQN,M110515,49.08722222,-122.5733333,110.0,Temperature (Mean)|Wind Speed (Point)
26,ENV-AQN,E233625,49.33861111,-124.4516667,98.0,Precipitation Amount|Relative Humidity (Point)|Relative Humidity|Temperature (Mean)|Wind Direction (Point)|Wind Speed (Point)
27,ENV-AQN,E234430,50.38416667,-127.4505556,88.0,Temperature (Mean)|Wind Direction (Point)|Wind Speed (Point)
28,ENV-AQN,M110513,49.18972222,-122.7975,82.0,Temperature (Mean)|Wind Speed (Point)
29,ENV-AQN,E253229,48.58,-123.4422222,60.0,Relative Humidity (Point)|Relative Humidity|Temperature (Mean)|Wind Direction (Point)|Wind Speed (Point)
30,ENV-AQN,M102039,49.34722222,-124.4444444,57.0,Temperature (Mean)|Wind Speed (Point)
31,ENV-AQN,E238705,49.87416667,-124.5555556,45.0,Relative Humidity (Point)|Relative Humidity|Temperature (Mean)|Wind Direction (Point)|Wind Speed (Point)
32,ENV-AQN,E223756,49.36972222,-121.4994444,39.0,
33,ENV-AQN,E231866,48.44194444,-123.3630556,31.0,Precipitation Amount|Relative Humidity (Point)|Relative Humidity|Temperature (Mean)|Wind Direction (Point)|Wind Speed (Point)
34,ENV-AQN,M101004,48.88027778,-123.6458333,20.0,Relative Humidity (Point)|Relative Humidity|Temperature (Mean)|Wind Direction (Point)|Wind Speed (Point)
35,ENV-AQN,M110512,49.03472222,-122.1597222,6.0,Temperature (Mean)|Wind Speed (Point)
36,ENV-AQN,M106009,54.02972222,-128.7016667,2.0,Temperature (Mean)|Wind Direction (Point)|Wind Speed (Point)
37,ENV-AQN,110031,48.43,-123.4686111,1.0,Precipitation Amount|Relative Humidity (Point)|Relative Humidity|Temperature (Mean)|Wind Direction (Point)|Wind Speed (Point)
38,FLNRO-FERN,1113695,59.002111,-125.509361,1683.0,Air Pressure (Point)|Dew Point Temperature (Mean)|Incoming Shortwave|Precipitation Amount|Relative Humidity (Mean)|Temperature (Point)|Wind Direction (Mean)|Wind Gust (Max.)|Wind Speed (Mean)
39,FLNRO-FERN,1113693,58.75475,-123.977683,1768.0,Air Pressure (Point)|Dew Point Temperature (Mean)|Incoming Shortwave|Precipitation Amount|Relative Humidity (Mean)|Temperature (Max.)|Temperature (Min.)|Temperature (Point)|Wind Direction (Mean)|Wind Gust (Max.)|Wind Speed (Mean)
40,FLNRO-FERN,1095443,57.550917,-122.7963,972.0,Air Pressure (Point)|Dew Point Temperature (Mean)|Incoming Shortwave|Precipitation Amount|Relative Humidity (Mean)|Temperature (Point)|Wind Direction (Mean)|Wind Gust (Max.)|Wind Speed (Mean)
41,FLNRO-FERN,1113696,57.062067,-122.8651,1748.0,Air Pressure (Point)|Dew Point Temperature (Mean)|Incoming Shortwave|Precipitation Amount|Relative Humidity (Mean)|Temperature (Point)|Wind Direction (Mean)|Wind Gust (Max.)|Wind Speed (Mean)
42,FLNRO-FERN,1113683,54.027527,-123.030078,743.0,Air Pressure (Point)|Dew Point Temperature (Mean)|Incoming Shortwave|Precipitation Amount|Relative Humidity (Mean)|Temperature (Point)|Wind Direction (Mean)|Wind Gust (Max.)|Wind Speed (Mean)
43,FLNRO-FERN,1113697,54.773403,-127.139994,484.0,Air Pressure (Point)|Dew Point Temperature (Mean)|Incoming Shortwave|Precipitation Amount|Relative Humidity (Mean)|Temperature (Point)|Wind Direction (Mean)|Wind Gust (Max.)|Wind Speed (Mean)
44,FLNRO-FERN,1159701,54.422278,-125.991497,856.0,Air Pressure (Point)|Dew Point Temperature (Mean)|Incoming Shortwave|Precipitation Amount|Relative Humidity (Mean)|Soil Moisture|Temperature (Point)|Wind Direction (Mean)|Wind Gust (Max.)|Wind Speed (Mean)
45,FLNRO-FERN,1163628,54.336006,-126.101008,866.0,Air Pressure (Point)|Dew Point Temperature (Mean)|Incoming Shortwave|Precipitation Amount|Relative Humidity (Mean)|Soil Moisture|Temperature (Point)|Wind Direction (Mean)|Wind Gust (Max.)|Wind Speed (Mean)
46,FLNRO-FERN,1177893,53.963903,-124.663289,878.0,Air Pressure (Point)|Dew Point Temperature (Mean)|Incoming Shortwave|Precipitation Amount|Relative Humidity (Mean)|Soil Moisture|Temperature (Point)|Wind Direction (Mean)|Wind Gust (Max.)|Wind Speed (Mean)
47,FLNRO-WMB,3,49.0,-124.7,5.0,Precipitation Amount|Precipitation Climatology|Relative Humidity (Mean)|Temperature (Point)|Wind Direction (Mean)|Wind Speed (Mean)
48,FLNRO-FERN,1113694,53.771956,-122.720939,599.0,Air Pressure (Point)|Dew Point Temperature (Mean)|Incoming Shortwave|Precipitation Amount|Relative Humidity (Mean)|Soil Moisture|Temperature (Point)|Wind Direction (Mean)|Wind Gust (Max.)|Wind Speed (Mean)
49,FLNRO-FERN,1095439,53.772461,-122.724517,602.0,Air Pressure (Point)|Dew Point Temperature (Mean)|Incoming Shortwave|Precipitation Amount|Relative Humidity (Mean)|Temperature (Point)|Wind Direction (Mean)|Wind Gust (Max.)|Wind Speed (Mean)
50,FLNRO-FERN,1113682,53.753756,-122.718803,595.0,Air Pressure (Point)|Dew Point Temperature (Mean)|Incoming Shortwave|Precipitation Amount|Relative Humidity (Mean)|Soil Moisture|Temperature (Point)|Wind Direction (Mean)|Wind Gust (Max.)|Wind Speed (Mean)
51,FLNRO-WMB,4,50.0,-126.8,2.0,Precipitation Amount|Precipitation Climatology|Relative Humidity (Mean)|Temperature (Point)|Wind Direction (Mean)|Wind Speed (Mean)
52,FLNRO-WMB,8,48.8,-124.9,3.0,Precipitation Amount|Precipitation Climatology|Relative Humidity (Mean)|Temperature (Point)|Wind Direction (Mean)|Wind Speed (Mean)
53,FLNRO-WMB,9,48.8,-125.0,1.0,Precipitation Amount|Precipitation Climatology|Relative Humidity (Mean)|Temperature (Point)|Wind Direction (Mean)|Wind Speed (Mean)
54,FLNRO-WMB,10,50.7,-126.3,7.0,Precipitation Amount|Precipitation Climatology|Relative Humidity (Mean)|Temperature (Point)|Wind Direction (Mean)|Wind Speed (Mean)
55,FLNRO-WMB,11,48.9283,-124.6483,857.0,Dep Point Temperature|Precipitation Amount|Precipitation Climatology|Rainfall 1hr|Rainfall 24hr|Relative Humidity|Relative Humidity (Mean)|Snow Depth|Temperature|Temperature (Point)|Wind Direction|Wind Direction (Mean)|Wind Speed|Wind Speed (Mean)
56,FLNRO-WMB,12,48.5,-124.3,4.0,Precipitation Amount|Relative Humidity (Mean)|Temperature (Point)|Wind Direction (Mean)|Wind Speed (Mean)
57,FLNRO-WMB,13,48.8,-124.8,2.0,Precipitation Amount|Precipitation Climatology|Relative Humidity (Mean)|Temperature (Point)|Wind Direction (Mean)|Wind Speed (Mean)
58,FLNRO-WMB,14,48.9,-124.5,4.0,Precipitation Amount|Precipitation Climatology|Relative Humidity (Mean)|Temperature (Point)|Wind Direction (Mean)|Wind Speed (Mean)
59,FLNRO-WMB,15,48.7,-125.0,2.0,Precipitation Amount|Precipitation Climatology|Relative Humidity (Mean)|Temperature (Point)|Wind Direction (Mean)|Wind Speed (Mean)
60,FLNRO-WMB,16,48.5783,-124.41,300.0,Precipitation Amount|Precipitation Climatology|Relative Humidity (Mean)|Temperature (Point)|Wind Direction (Mean)|Wind Speed (Mean)
61,FLNRO-WMB,18,48.8,-124.5,4.0,Precipitation Amount|Precipitation Climatology|Relative Humidity (Mean)|Temperature (Point)|Wind Direction (Mean)|Wind Speed (Mean)
62,FLNRO-WMB,19,50.0486,-125.7887,438.0,Dep Point Temperature|Precipitation Amount|Precipitation Climatology|Rainfall 1hr|Rainfall 24hr|Relative Humidity|Relative Humidity (Mean)|Snow Depth|Temperature|Temperature (Point)|Wind Direction|Wind Direction (Mean)|Wind Speed|Wind Speed (Mean)
63,FLNRO-WMB,20,49.8,-126.1,6.0,Precipitation Amount|Precipitation Climatology|Relative Humidity (Mean)|Temperature (Point)|Wind Direction (Mean)|Wind Speed (Mean)
64,FLNRO-WMB,21,50.2,-126.6,70.0,Dep Point Temperature|Precipitation Amount|Precipitation Climatology|Rainfall 1hr|Rainfall 24hr|Relative Humidity|Relative Humidity (Mean)|Snow Depth|Temperature|Temperature (Point)|Wind Direction|Wind Direction (Mean)|Wind Speed|Wind Speed (Mean)
65,FLNRO-WMB,23,49.2267,-124.9083,455.0,Precipitation Amount|Precipitation Climatology|Relative Humidity (Mean)|Temperature (Point)|Wind Direction (Mean)|Wind Speed (Mean)
66,FLNRO-WMB,24,49.2,-124.6,7.0,Precipitation Amount|Precipitation Climatology|Relative Humidity (Mean)|Temperature (Point)|Wind Direction (Mean)|Wind Speed (Mean)
67,FLNRO-WMB,25,48.9417,-124.1067,710.0,Precipitation Amount|Precipitation Climatology|Relative Humidity (Mean)|Temperature (Point)|Wind Direction (Mean)|Wind Speed (Mean)
68,FLNRO-WMB,28,50.5,-126.0,0.0,Precipitation Amount|Precipitation Climatology|Relative Humidity (Mean)|Temperature (Point)|Wind Direction (Mean)|Wind Speed (Mean)
69,FLNRO-WMB,29,49.3883,-125.3333,300.0,Precipitation Amount|Precipitation Climatology|Relative Humidity (Mean)|Temperature (Point)|Wind Direction (Mean)|Wind Speed (Mean)
70,FLNRO-WMB,30,50.3,-126.0,0.0,Precipitation Amount|Precipitation Climatology|Relative Humidity (Mean)|Temperature (Point)|Wind Direction (Mean)|Wind Speed (Mean)
71,FLNRO-WMB,31,50.1,-125.7,0.0,Precipitation Amount|Precipitation Climatology|Relative Humidity (Mean)|Temperature (Point)|Wind Direction (Mean)|Wind Speed (Mean)
72,FLNRO-WMB,32,48.6,-123.8,0.0,Precipitation Amount|Precipitation Climatology|Relative Humidity (Mean)|Temperature (Point)|Wind Direction (Mean)|Wind Speed (Mean)
73,FLNRO-WMB,34,48.6,-124.3,213.0,Precipitation Amount|Precipitation Climatology|Relative Humidity (Mean)|Temperature (Point)|Wind Direction (Mean)|Wind Speed (Mean)
74,FLNRO-WMB,35,50.2,-126.1,6.0,Precipitation Amount|Precipitation Climatology|Relative Humidity (Mean)|Temperature (Point)|Wind Direction (Mean)|Wind Speed (Mean)
75,FLNRO-WMB,36,49.2717,-124.6483,974.0,Precipitation Amount|Precipitation Climatology|Relative Humidity (Mean)|Temperature (Point)|Wind Direction (Mean)|Wind Speed (Mean)
76,FLNRO-WMB,37,49.3775,-124.9333,100.0,Dep Point Temperature|Precipitation Amount|Precipitation Climatology|Rainfall 1hr|Rainfall 24hr|Relative Humidity|Relative Humidity (Mean)|Snow Depth|Temperature|Temperature (Point)|Wind Direction|Wind Direction (Mean)|Wind Speed|Wind Speed (Mean)
77,FLNRO-WMB,39,49.1933,-125.385,500.0,Precipitation Amount|Precipitation Climatology|Relative Humidity (Mean)|Temperature (Point)|Wind Direction (Mean)|Wind Speed (Mean)
78,FLNRO-WMB,40,48.4067,-123.76,23.0,Precipitation Amount|Precipitation Climatology|Relative Humidity (Mean)|Temperature (Point)|Wind Direction (Mean)|Wind Speed (Mean)
79,FLNRO-WMB,41,50.3117,-125.5867,224.0,Precipitation Amount|Precipitation Climatology|Relative Humidity (Mean)|Temperature (Point)|Wind Direction (Mean)|Wind Speed (Mean)
80,FLNRO-WMB,43,49.3,-124.2,1.0,Precipitation Amount|Precipitation Climatology|Relative Humidity (Mean)|Temperature (Point)|Wind Direction (Mean)|Wind Speed (Mean)
81,FLNRO-WMB,45,48.774,-123.474,34.0,Dep Point Temperature|Precipitation Amount|Rainfall 1hr|Rainfall 24hr|Relative Humidity|Relative Humidity (Mean)|Snow Depth|Temperature|Temperature (Point)|Wind Direction|Wind Direction (Mean)|Wind Speed|Wind Speed (Mean)
82,FLNRO-WMB,46,49.45,-123.719,75.0,Precipitation Amount|Precipitation Climatology|Relative Humidity (Mean)|Temperature (Point)|Wind Direction (Mean)|Wind Speed (Mean)
83,FLNRO-WMB,47,49.5,-123.7,100.0,Precipitation Amount|Precipitation Climatology|Relative Humidity (Mean)|Temperature (Point)|Wind Direction (Mean)|Wind Speed (Mean)
84,FLNRO-WMB,50,48.6,-123.9,4.0,Precipitation Amount|Relative Humidity (Mean)|Temperature (Point)|Wind Direction (Mean)|Wind Speed (Mean)
85,FLNRO-WMB,51,49.2,-124.4,7.0,Precipitation Amount|Precipitation Climatology|Relative Humidity (Mean)|Temperature (Point)|Wind Direction (Mean)|Wind Speed (Mean)
86,FLNRO-WMB,52,49.3,-124.3,1.0,Precipitation Amount|Precipitation Climatology|Relative Humidity (Mean)|Temperature (Point)|Wind Direction (Mean)|Wind Speed (Mean)
87,FLNRO-WMB,53,48.6,-123.6,2.0,Precipitation Amount|Relative Humidity (Mean)|Temperature (Point)|Wind Direction (Mean)|Wind Speed (Mean)
88,FLNRO-WMB,54,48.8,-123.8,1.0,Precipitation Amount|Precipitation Climatology|Relative Humidity (Mean)|Temperature (Point)|Wind Direction (Mean)|Wind Speed (Mean)
89,FLNRO-WMB,55,48.9,-124.1,7.0,Precipitation Amount|Precipitation Climatology|Relative Humidity (Mean)|Temperature (Point)|Wind Direction (Mean)|Wind Speed (Mean)
90,FLNRO-WMB,56,49.4367,-124.7033,184.0,Dep Point Temperature|Precipitation Amount|Precipitation Climatology|Rainfall 1hr|Rainfall 24hr|Relative Humidity|Relative Humidity (Mean)|Temperature|Temperature (Point)|Wind Direction|Wind Direction (Mean)|Wind Speed|Wind Speed (Mean)
91,FLNRO-WMB,57,48.9,-123.5,1.0,Precipitation Amount|Relative Humidity (Mean)|Temperature (Point)|Wind Direction (Mean)|Wind Speed (Mean)
92,FLNRO-WMB,59,49.0483,-123.875,100.0,Dep Point Temperature|Precipitation Amount|Precipitation Climatology|Rainfall 1hr|Rainfall 24hr|Relative Humidity|Relative Humidity (Mean)|Temperature|Temperature (Point)|Wind Direction|Wind Direction (Mean)|Wind Speed|Wind Speed (Mean)
93,FLNRO-WMB,60,48.7783,-123.4533,150.0,Precipitation Amount|Precipitation Climatology|Relative Humidity (Mean)|Temperature (Point)|Wind Direction (Mean)|Wind Speed (Mean)
94,FLNRO-WMB,63,50.1167,-123.3967,200.0,Precipitation Amount|Precipitation Climatology|Relative Humidity (Mean)|Temperature (Point)|Wind Direction (Mean)|Wind Speed (Mean)
95,FLNRO-WMB,65,49.4,-123.1,981.0,Precipitation Amount|Precipitation Climatology|Relative Humidity (Mean)|Temperature (Point)|Wind Direction (Mean)|Wind Speed (Mean)
96,FLNRO-WMB,66,49.691,-121.8596,8.0,Precipitation Amount|Precipitation Climatology|Relative Humidity (Mean)|Temperature (Point)|Wind Direction (Mean)|Wind Speed (Mean)
97,FLNRO-WMB,67,49.369,-121.492,162.0,Dep Point Temperature|Precipitation Amount|Rainfall 1hr|Rainfall 24hr|Relative Humidity|Relative Humidity (Mean)|Temperature|Temperature (Point)|Wind Direction|Wind Direction (Mean)|Wind Speed|Wind Speed (Mean)
98,FLNRO-WMB,68,49.7017,-122.7,401.0,Precipitation Amount|Precipitation Climatology|Relative Humidity (Mean)|Temperature (Point)|Wind Direction (Mean)|Wind Speed (Mean)
99,FLNRO-WMB,71,50.2,-122.5,2.0,Precipitation Amount|Precipitation Climatology|Relative Humidity (Mean)|Temperature (Point)|Wind Direction (Mean)|Wind Speed (Mean)
100,FLNRO-WMB,72,49.265,-122.5733,98.0,Dep Point Temperature|Precipitation Amount|Precipitation Climatology|Rainfall 1hr|Rainfall 24hr|Relative Humidity|Relative Humidity (Mean)|Temperature|Temperature (Point)|Wind Direction|Wind Direction (Mean)|Wind Speed|Wind Speed (Mean)
101,FLNRO-WMB,73,49.2,-122.3,504.0,Precipitation Amount|Precipitation Climatology|Relative Humidity (Mean)|Temperature (Point)|Wind Direction (Mean)|Wind Speed (Mean)
102,FLNRO-WMB,74,49.0983,-121.6633,295.0,Precipitation Amount|Precipitation Climatology|Relative Humidity (Mean)|Temperature (Point)|Wind Direction (Mean)|Wind Speed (Mean)
103,FLNRO-WMB,75,50.568,-124.073,1.0,Dep Point Temperature|Precipitation Amount|Precipitation Climatology|Rainfall 1hr|Rainfall 24hr|Relative Humidity|Relative Humidity (Mean)|Snow Depth|Temperature|Temperature (Point)|Wind Direction|Wind Direction (Mean)|Wind Speed|Wind Speed (Mean)
104,FLNRO-WMB,76,49.7,-123.1,0.0,Precipitation Amount|Precipitation Climatology|Relative Humidity (Mean)|Temperature (Point)|Wind Direction (Mean)|Wind Speed (Mean)
105,FLNRO-WMB,78,50.2,-123.6,5.0,Precipitation Amount|Precipitation Climatology|Relative Humidity (Mean)|Temperature (Point)|Wind Direction (Mean)|Wind Speed (Mean)
106,FLNRO-WMB,79,51.1,-125.6,0.0,Precipitation Amount|Precipitation Climatology|Relative Humidity (Mean)|Temperature (Point)|Wind Direction (Mean)|Wind Speed (Mean)
107,FLNRO-WMB,80,50.2,-125.1,0.0,Precipitation Amount|Precipitation Climatology|Relative Humidity (Mean)|Temperature (Point)|Wind Direction (Mean)|Wind Speed (Mean)
108,FLNRO-WMB,81,50.3,-124.3,0.0,Precipitation Amount|Precipitation Climatology|Relative Humidity (Mean)|Temperature (Point)|Wind Direction (Mean)|Wind Speed (Mean)
109,FLNRO-WMB,82,51.19,-125.0283,50.0,Dep Point Temperature|Precipitation Amount|Precipitation Climatology|Rainfall 1hr|Rainfall 24hr|Relative Humidity|Relative Humidity (Mean)|Snow Depth|Temperature|Temperature (Point)|Wind Direction|Wind Direction (Mean)|Wind Speed|Wind Speed (Mean)
110,FLNRO-WMB,84,50.7,-125.2,7.0,Precipitation Amount|Relative Humidity (Mean)|Temperature (Point)|Wind Direction (Mean)|Wind Speed (Mean)
111,FLNRO-WMB,85,49.7567,-123.5083,18.0,Precipitation Amount|Precipitation Climatology|Relative Humidity (Mean)|Temperature (Point)|Wind Direction (Mean)|Wind Speed (Mean)
112,FLNRO-WMB,86,50.6,-124.7,800.0,Precipitation Amount|Precipitation Climatology|Relative Humidity (Mean)|Temperature (Point)|Wind Direction (Mean)|Wind Speed (Mean)
113,FLNRO-WMB,87,50.8,-125.8,300.0,Precipitation Amount|Precipitation Climatology|Relative Humidity (Mean)|Temperature (Point)|Wind Direction (Mean)|Wind Speed (Mean)
114,FLNRO-WMB,91,53.7,-132.3,5.0,Precipitation Amount|Precipitation Climatology|Relative Humidity (Mean)|Temperature (Point)|Wind Direction (Mean)|Wind Speed (Mean)
115,FLNRO-WMB,93,53.255,-132.135,100.0,Dep Point Temperature|Precipitation Amount|Precipitation Climatology|Rainfall 1hr|Rainfall 24hr|Relative Humidity|Relative Humidity (Mean)|Temperature|Temperature (Point)|Wind Direction|Wind Direction (Mean)|Wind Speed|Wind Speed (Mean)
116,FLNRO-WMB,97,53.15,-131.86,287.0,Precipitation Amount|Precipitation Climatology|Relative Humidity (Mean)|Temperature (Point)|Wind Direction (Mean)|Wind Speed (Mean)
117,FLNRO-WMB,98,55.4583,-129.475,100.0,Precipitation Amount|Precipitation Climatology|Relative Humidity (Mean)|Temperature (Point)|Wind Direction (Mean)|Wind Speed (Mean)
118,FLNRO-WMB,99,52.5,-126.3,0.0,Precipitation Amount|Precipitation Climatology|Relative Humidity (Mean)|Temperature (Point)|Wind Direction (Mean)|Wind Speed (Mean)
119,FLNRO-WMB,101,51.5933,-126.4517,366.0,Dep Point Temperature|Precipitation Amount|Precipitation Climatology|Rainfall 1hr|Rainfall 24hr|Relative Humidity|Relative Humidity (Mean)|Snow Depth|Temperature|Temperature (Point)|Wind Direction|Wind Direction (Mean)|Wind Speed|Wind Speed (Mean)
120,FLNRO-WMB,104,53.5633,-127.9433,17.0,Precipitation Amount|Precipitation Climatology|Relative Humidity (Mean)|Temperature (Point)|Wind Direction (Mean)|Wind Speed (Mean)
121,FLNRO-WMB,105,54.915,-128.8583,137.0,Dep Point Temperature|Precipitation Amount|Precipitation Climatology|Rainfall 1hr|Rainfall 24hr|Relative Humidity|Relative Humidity (Mean)|Temperature|Temperature (Point)|Wind Direction|Wind Direction (Mean)|Wind Speed|Wind Speed (Mean)
122,FLNRO-WMB,106,54.17,-128.5767,75.0,Dep Point Temperature|Precipitation Amount|Precipitation Climatology|Rainfall 1hr|Rainfall 24hr|Relative Humidity|Relative Humidity (Mean)|Snow Depth|Temperature|Temperature (Point)|Wind Direction|Wind Direction (Mean)|Wind Speed|Wind Speed (Mean)
123,FLNRO-WMB,108,58.4,-130.0,800.0,Dep Point Temperature|Precipitation Amount|Precipitation Climatology|Rainfall 1hr|Rainfall 24hr|Relative Humidity|Relative Humidity (Mean)|Snow Depth|Temperature|Temperature (Point)|Wind Direction|Wind Direction (Mean)|Wind Speed|Wind Speed (Mean)
124,FLNRO-WMB,110,57.9033,-131.1967,382.0,Dep Point Temperature|Precipitation Amount|Precipitation Climatology|Rainfall 1hr|Rainfall 24hr|Relative Humidity|Relative Humidity (Mean)|Snow Depth|Temperature|Temperature (Point)|Wind Direction|Wind Direction (Mean)|Wind Speed|Wind Speed (Mean)
125,FLNRO-WMB,111,59.5833,-133.6667,729.0,Dep Point Temperature|Precipitation Amount|Precipitation Climatology|Rainfall 1hr|Rainfall 24hr|Relative Humidity|Relative Humidity (Mean)|Snow Depth|Temperature|Temperature (Point)|Wind Direction|Wind Direction (Mean)|Wind Speed|Wind Speed (Mean)
126,FLNRO-WMB,112,57.8567,-130.0083,890.0,Dep Point Temperature|Precipitation Amount|Precipitation Climatology|Rainfall 1hr|Rainfall 24hr|Relative Humidity|Relative Humidity (Mean)|Snow Depth|Temperature|Temperature (Point)|Wind Direction|Wind Direction (Mean)|Wind Speed|Wind Speed (Mean)
127,FLNRO-WMB,113,56.9833,-130.2533,609.0,Dep Point Temperature|Precipitation Amount|Precipitation Climatology|Rainfall 1hr|Rainfall 24hr|Relative Humidity|Relative Humidity (Mean)|Snow Depth|Temperature|Temperature (Point)|Wind Direction|Wind Direction (Mean)|Wind Speed|Wind Speed (Mean)
128,FLNRO-WMB,116,57.9,-120.3,0.0,Precipitation Amount|Precipitation Climatology|Relative Humidity (Mean)|Temperature (Point)|Wind Direction (Mean)|Wind Speed (Mean)
129,FLNRO-WMB,117,58.8381,-121.3967,584.0,Dep Point Temperature|Precipitation Amount|Precipitation Climatology|Rainfall 1hr|Rainfall 24hr|Relative Humidity|Relative Humidity (Mean)|Temperature|Temperature (Point)|Wind Direction|Wind Direction (Mean)|Wind Speed|Wind Speed (Mean)
130,FLNRO-WMB,118,59.421,-120.789,598.0,Dep Point Temperature|Precipitation Amount|Precipitation Climatology|Rainfall 1hr|Rainfall 24hr|Relative Humidity|Relative Humidity (Mean)|Snow Depth|Temperature|Temperature (Point)|Wind Direction|Wind Direction (Mean)|Wind Speed|Wind Speed (Mean)
131,FLNRO-WMB,119,59.6173,-124.0985,604.0,Dep Point Temperature|Precipitation Amount|Precipitation Climatology|Rainfall 1hr|Rainfall 24hr|Relative Humidity|Relative Humidity (Mean)|Temperature|Temperature (Point)|Wind Direction|Wind Direction (Mean)|Wind Speed|Wind Speed (Mean)
132,FLNRO-WMB,120,57.4968,-121.297,835.0,Dep Point Temperature|Precipitation Amount|Precipitation Climatology|Rainfall 1hr|Rainfall 24hr|Relative Humidity|Relative Humidity (Mean)|Temperature|Temperature (Point)|Wind Direction|Wind Direction (Mean)|Wind Speed|Wind Speed (Mean)
133,FLNRO-WMB,121,57.7818,-120.2368,729.0,Dep Point Temperature|Precipitation Amount|Precipitation Climatology|Rainfall 1hr|Rainfall 24hr|Relative Humidity|Relative Humidity (Mean)|Snow Depth|Temperature|Temperature (Point)|Wind Direction|Wind Direction (Mean)|Wind Speed|Wind Speed (Mean)
134,FLNRO-WMB,123,56.3,-122.2,7.0,Precipitation Amount|Precipitation Climatology|Relative Humidity (Mean)|Temperature (Point)|Wind Direction (Mean)|Wind Speed (Mean)
